bcr_patient_barcode,dataset,GATA3,PTEN,XBP1,ESR1,MUC1
LUSC112,LUSC,-3.03,0.52,0.21,-1.64,1.21
LUSC113,LUSC,-3.36,-0.41,-1.85,-3.22,-0.48
LUSC114,LUSC,-4.03,-1.61,-1.14,-3.68,0.92
LUSC115,LUSC,-3.11,0.12,-0.74,-1.84,1.88
LUSC116,LUSC,-4.5,-0.54,-0.7,-2.67,0.81
LUSC117,LUSC,-3.29,0.3,-0.02,-2.86,1.11
LUSC118,LUSC,-4.13,0.54,-0.01,-3.05,0.22
LUSC119,LUSC,-4.43,0.92,-0.04,-3.56,2.76
LUSC120,LUSC,-2.1,0.78,0.62,-2.87,1.42
LUSC121,LUSC,-4.82,1.21,-0.09,-3.59,1.44
LUSC122,LUSC,-4.87,-0.55,1.03,-5.01,-0.4
LUSC123,LUSC,-3.56,1.26,-0.76,-3.04,-1.57
LUSC124,LUSC,-4.54,-0.38,0.2,-4.7,-0.6
LUSC125,LUSC,-4.58,0.08,-1.13,-2.59,0.69
LUSC126,LUSC,-4.44,-0.7,-0.12,-4.01,0.07
LUSC127,LUSC,-4.48,0.34,-1.39,-1.15,0
LUSC128,LUSC,-4.75,0.74,-0.09,-3.67,1.28
LUSC129,LUSC,-4.22,1.43,-0.58,-2.88,2.01
LUSC130,LUSC,-3.07,0,-1.07,-4.21,-0.59
LUSC131,LUSC,-3.64,0.46,0.31,-2,1.11
LUSC132,LUSC,-2.98,0.48,-1.28,-3.32,-0.75
LUSC133,LUSC,-2.57,0.59,0.13,-2.9,0.79
LUSC134,LUSC,-4.4,0.16,-0.01,-3.12,0.94
LUSC135,LUSC,-4.33,-0.86,0.76,-3.07,1.49
LUSC136,LUSC,-3.23,0.17,0.17,-0.31,1.14
LUSC137,LUSC,-4.12,0.77,-0.07,-3.06,1.42
LUSC138,LUSC,-4.34,-1.16,-0.96,-2.98,0.89
LUSC139,LUSC,-3,1.39,-0.09,-3.23,1.31
LUSC140,LUSC,-5.06,1.03,0.63,-4.04,-0.96
LUSC141,LUSC,-3.36,0.62,-0.73,-2.32,-0.69
LUSC142,LUSC,-4.29,-0.5,0.52,-1.85,1.33
LUSC143,LUSC,-0.8,0.48,1.54,0.34,2.19
LUSC144,LUSC,-2.32,1.04,-0.69,-2.15,2.07
LUSC145,LUSC,-3.83,0.22,-0.41,-3.57,-0.18
LUSC146,LUSC,-3.68,0.23,0.97,-3.3,0.86
LUSC147,LUSC,-4.05,0.53,-0.25,-3.54,1.91
LUSC148,LUSC,-2.87,1.1,0.19,-2.39,0.69
LUSC149,LUSC,-3.95,-0.43,0.36,-3.04,0.16
LUSC150,LUSC,-4.74,0.65,-0.5,-4.26,-1.39
LUSC151,LUSC,-3.53,0.6,-2.11,-4.02,-0.38
LUSC152,LUSC,-3.05,0.44,-0.8,-3.2,-0.63
LUSC153,LUSC,-3.72,0.71,-0.69,-2.23,0.61
LUSC154,LUSC,-4.42,0.01,-0.64,-3.52,0.72
